Country,Weight,Population,Area
Austria,2.9,1.7,1.9
Belgium,3.5,2.1,0.7
Bulgaria,2.9,1.5,2.5
Crotia,0.8,0.82,1.3
Cyprus,1.2,0.2,0.2
Czech Rep,3.5,2.1,1.8
Denmark,2,1.1,1
Estonia,1.2,0.3,1
Finland,2,1.1,7.6
France,8.4,12.9,14.6
Germany,8.4,16.5,8.1
Greece,3.5,2.2,3
Hungary,3.5,2,2.1
Ireland,2,0.9,1.6	
Italy,8.4,12,6.8
Latvia,1.2,0.5,1.5
Lithuania,2,0.7,1.5
Luxemborg,1.2,0.1,0.1
Malta,0.4,0.1,0
Netherlands,3.8,3.3,0.9
Poland,7.8,7.6,7.1
Portugal,3.5,2.1,2.1
Romania,4.1,4.3,5.4
Slovakia,2,1.1,1.1
Slovenia,1.2,0.4,0.5
Spain,7.8,9,11.4
Sweden,2.9,1.9,10.2
UK,8.4,12.4,5.5
